Mean,Variance,Median,Lower Quartile,Upper Quartile,Label,Matrix_ID
-28.715285889628507,543.3788161954824,-23.15046740878455,-48.48775523894184,-12.26578257492405,0.0,0.0
-27.876694747750697,371.50200011533127,-23.68109714443184,-42.247281228343276,-13.984524033788375,0.0,0.0
-28.649571822548086,663.4532904838363,-25.25373673439345,-49.4551214336953,-11.614454093283694,0.0,0.0
-26.18663487904188,423.0730967467554,-23.525998228578604,-38.01180021102054,-12.234641310087609,0.0,0.0
-34.37822701606608,350.8384334885021,-35.08363977615996,-51.56148171802674,-22.678882251894684,0.0,0.0
-39.62645729405517,563.9286417507955,-43.703532867803595,-62.90535086665829,-15.172271139093102,0.0,0.0
-28.1405549405322,301.5960361159871,-26.66922394580761,-33.93040580924863,-20.328217945452874,0.0,0.0
-34.27429346397147,260.1047511583967,-35.526527138614114,-45.37828461095582,-21.40793972704827,0.0,0.0
-33.38728900723849,386.0106261587515,-29.922596531230425,-47.50514246747038,-22.334862757462766,0.0,0.0
-35.593553288466765,666.5315047455176,-33.89538523693393,-51.970799042309864,-9.65851357781945,0.0,0.0
-34.628289966177164,292.3297390745612,-34.3689118906549,-51.29630716097354,-16.765198102356234,0.0,0.0
-38.54516455216209,427.6680671601407,-42.154386979426164,-54.76802897253487,-25.342612049325403,0.0,0.0
-32.864439555448584,327.88960483936637,-34.70817234418861,-43.93036144160094,-16.43618131641373,0.0,0.0
-28.63010028435403,658.0020150524974,-20.462671999408414,-44.13166371358762,-8.808170324574178,0.0,0.0
-33.44572255755595,304.8427504578093,-30.922880535844335,-48.285466661718814,-22.50778017719773,0.0,0.0
-33.607908683940266,472.15925983780846,-31.356016584300086,-45.12298673435442,-17.57126855521146,0.0,0.0
-33.726842312978455,382.0800000789224,-30.286704270778714,-46.538443509710945,-17.999949258739342,0.0,0.0
-36.32404679887195,344.96662094312666,-37.473238155247955,-47.38144548624254,-23.68428089074987,0.0,0.0
-30.124139251425742,493.2073420047965,-32.84654215215804,-50.120045567599426,-11.794278895620478,0.0,0.0
-30.18307257855927,338.4901867112936,-27.22341395101568,-44.590474049747435,-16.44146968742223,0.0,0.0
-34.13656250328388,345.4198133335041,-38.376582580131526,-45.22043019982982,-27.900879774698666,0.0,0.0
-32.3192564220846,378.927655869867,-35.92418918977898,-44.38220142297307,-13.569131433531322,0.0,0.0
-36.07112329854582,584.1882618008149,-31.538779396172806,-58.10450036225969,-13.785384078243629,0.0,0.0
-34.9407801044937,318.70143477891367,-32.73078984831173,-49.250573361400285,-19.50644734896909,0.0,0.0
-30.58408617403391,354.7523491936186,-28.750797183794315,-47.69713196006657,-14.214036351314252,0.0,0.0
-36.132037541385024,584.5705915448367,-34.573246039273556,-57.5499492656733,-19.91303189965845,0.0,0.0
-38.10814477601015,411.7460465838038,-40.905887180483845,-53.64215500458186,-25.148886783571403,0.0,0.0
-27.79320067381787,241.58421109486608,-25.39497800202416,-38.991067207812975,-16.57829106419976,0.0,0.0
-30.898787568749025,246.24552871246988,-29.229173486702592,-39.883504690854394,-19.879057350190287,0.0,0.0
-35.65357268231402,380.68087811524714,-40.87683078635461,-47.14896480285431,-18.582794094175767,0.0,0.0
-38.232672778322105,579.2291716303282,-43.92897528821888,-59.795955018043145,-16.700441535441584,0.0,0.0
-34.17958961387792,364.09022291200574,-34.94052628350008,-44.43597513402788,-19.47564810608342,0.0,0.0
-35.02300834214289,528.3464118073787,-36.45857574729964,-55.319482472702504,-17.050833306812486,0.0,0.0
-36.62903875940622,348.5096177363148,-30.849439208051756,-51.531274362643565,-24.549052053079283,0.0,0.0
-28.47573945940731,395.4217239310107,-26.775663335559514,-35.722010104755334,-13.371406273787771,0.0,0.0
-37.108570813890736,572.3692290628724,-39.31822286546591,-48.96666376341066,-17.197351891898172,0.0,0.0
-33.5808745824932,391.33101818410694,-32.984810516665306,-47.928010981344585,-22.102238872394253,0.0,0.0
-33.548965677970244,406.7441436812046,-31.344510292717736,-49.51881562502768,-18.002584735851052,0.0,0.0
-30.57961437285951,636.7512890997831,-20.612583422956483,-52.22953626196443,-9.456734713658285,0.0,0.0
-37.518136337790644,659.7191991312841,-36.084810758171855,-57.46382934690173,-15.021332481234378,0.0,0.0
-30.26897880038107,359.7056134660312,-30.73142661726653,-42.835459995264266,-14.403261062629364,0.0,0.0
-41.59662800534636,400.4206574971905,-41.27597509750111,-57.65669172092255,-25.61523030246344,0.0,0.0
-31.141681170031138,595.23251540836,-26.769536124337872,-49.39736512672304,-13.554478497687553,0.0,0.0
-31.474100205314254,333.44701093070364,-27.942863448798338,-46.173729993091044,-14.732952017869376,0.0,0.0
-37.35039802169475,624.7590609681986,-33.46537153573267,-60.9561503542406,-22.125129992868942,0.0,0.0
-32.304056452650805,491.4744543643986,-29.29968456314932,-47.49011679701966,-13.577460852011088,0.0,0.0
-35.947120440482685,462.1849155257845,-36.40252260766679,-49.52376026602013,-18.332815777498112,0.0,0.0
-38.398615592583994,632.9877851588378,-32.42132244232445,-56.00999069451079,-17.626899097001523,0.0,0.0
-36.583834353774975,720.0966107738501,-27.54307087748215,-61.21930457344578,-12.531020196554213,0.0,0.0
-28.804961897429944,541.2146959969461,-26.1293796164126,-45.86133957410245,-13.272814098338522,0.0,0.0
-31.827498596260444,502.8670253468701,-29.18176014143913,-49.960338395210485,-10.422328677631608,0.0,0.0
-41.27813073729497,369.6892993860184,-41.375433917781116,-59.82562161165744,-27.157888579536493,0.0,0.0
-41.694774571482675,339.98014336636794,-41.371151901157546,-55.068700739481486,-30.479790073675524,0.0,0.0
-30.699147721720674,396.78381404778435,-24.912568305276285,-43.45751325980354,-16.04322285963742,0.0,0.0
-31.90758891478048,196.1986779890401,-30.9398830591867,-43.05369967960855,-20.038331778773916,0.0,0.0
-32.87975192543194,488.7524814696656,-32.95549419936309,-49.609500920418554,-13.011777250985581,0.0,0.0
-25.425802947167895,315.90910230318406,-26.376577779541265,-31.713247163523153,-13.990140789827315,0.0,0.0
-32.99033132036637,498.62760270009414,-30.087375493859163,-43.61370322569567,-15.599408359060897,0.0,0.0
-31.391378164843236,471.26926653665777,-28.111902884690856,-50.16377351018456,-14.07918936901248,0.0,0.0
-37.832381361945366,761.6437909952767,-39.62863609800627,-61.278391199204265,-10.499151262695179,0.0,0.0
-30.849367150139404,467.9301855663515,-19.658940168204218,-50.704812076200874,-13.921639898908332,0.0,0.0
-31.790417536775017,408.0579780373213,-29.1563596540641,-49.36013348800865,-19.57914826848235,0.0,0.0
-28.982982213769134,446.79091198313336,-23.869148508455716,-47.479594435232535,-9.370192798199465,0.0,0.0
-35.120038179358936,380.84437276744626,-39.02096470485626,-48.06901071389974,-21.404831314973194,0.0,0.0
-31.174276453611135,424.0078227040766,-32.382589338532945,-41.77944077208728,-10.966292813125088,0.0,0.0
-38.63472835718271,425.05212778798693,-38.810698973079745,-55.60226716511142,-25.346855823492177,0.0,0.0
-35.029825848376774,260.81249345232686,-32.7118341950803,-40.05929566091951,-24.292285807023802,0.0,0.0
-23.36054124271748,464.0234315220593,-19.671035377940896,-31.24318785952638,-7.768783424892018,0.0,0.0
-30.27517374890362,481.87843186283715,-28.12657244476046,-43.44682783868614,-12.913613869610785,0.0,0.0
-28.782857652872973,353.0698786936262,-29.208016192572668,-44.1239945675556,-9.383290307233155,0.0,0.0
-34.08726118394985,525.6180770722824,-31.87528694367748,-55.97053016590205,-15.974777317635848,0.0,0.0
-33.149673200171975,484.5965488531325,-31.5572929717041,-49.64814145789681,-13.875653931876082,0.0,0.0
-28.68294212404205,275.86466292319597,-29.949921194852607,-41.38045220050526,-19.387005964393197,0.0,0.0
-31.574801806683816,348.31203077405735,-29.804362986986938,-49.04751549861936,-20.00657343153095,0.0,0.0
-31.898081939740695,505.72898923494233,-28.317267269495563,-52.115982063945886,-17.117527267119797,0.0,0.0
-33.28986872136589,509.75517836127636,-35.599559556417105,-44.60933415994329,-12.135908067975786,0.0,0.0
-29.230395744834727,363.7800214015137,-26.553071454626437,-42.634489557719164,-16.289777205526022,0.0,0.0
-37.90696112688005,477.79550495768643,-39.3154156929327,-54.66759708486096,-20.554656574711878,0.0,0.0
-25.51599071782177,343.32350141239465,-18.618532594976344,-40.863909567884974,-12.15025691442699,0.0,0.0
-31.635633946433007,395.80379348083176,-30.859418843130033,-38.02496132967575,-18.71904065978771,0.0,0.0
-32.3134540389356,393.18450348135406,-30.16087827091677,-45.000796556030615,-18.129951220303656,0.0,0.0
-38.007485272954504,335.23147190937595,-34.188234573473906,-50.937056724837404,-28.167901463032027,0.0,0.0
